This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),
Date,Average_CHIRPS_Rainfall(mm/day)
7/2/2013, 0.5825490951538086
7/3/2013, 1.6687179364656146
7/4/2013, 2.3993046409205387
7/5/2013, 6.454404328998766
7/6/2013, 2.5490690532483553
7/7/2013, 3.897062201248972
7/8/2013, 1.229899757786801
7/9/2013, 5.8533582185444075
7/10/2013, 6.960727892423931
7/11/2013, 10.281119095651727
7/12/2013, 1.199681231850072
7/13/2013, 2.318300146805613
7/14/2013, 0.19313235031931023
7/15/2013, 10.415772287469162
7/16/2013, 12.924507542660361
7/17/2013, 10.729440789473685
7/18/2013, 11.783503482216283
7/19/2013, 4.568454541658101
7/20/2013, 1.074580142372533
7/21/2013, 2.1087967722039473
7/22/2013, 0
7/23/2013, 0.289972932715165
7/24/2013, 0
7/25/2013, 0
7/26/2013, 0
7/27/2013, 0
7/28/2013, 0
7/29/2013, 0
7/30/2013, 0.057541031586496455
7/31/2013, 12.955895674856086
8/1/2013, 1.586860455964741
8/2/2013, 0
8/3/2013, 4.184442620528372
8/4/2013, 2.411229786119963
8/5/2013, 11.02943982576069
8/6/2013, 0.39853168788709137
8/7/2013, 0
8/8/2013, 0
8/9/2013, 1.9642542788856907
8/10/2013, 13.374673140676398
8/11/2013, 1.1568268223812705
8/12/2013, 5.8997140181692025
8/13/2013, 7.814246729800575
8/14/2013, 4.009917008249383
8/15/2013, 8.696525172183389
8/16/2013, 4.6759804173519735
8/17/2013, 7.366455078125
8/18/2013, 0
8/19/2013, 0
8/20/2013, 0
8/21/2013, 0
8/22/2013, 0
8/23/2013, 0
8/24/2013, 0
8/25/2013, 0
8/26/2013, 0
8/27/2013, 0
8/28/2013, 6.143906041195518
8/29/2013, 9.38034459164268
8/30/2013, 3.106565575850637
8/31/2013, 3.7073283948396383
9/1/2013, 8.875318025287829
9/2/2013, 17.95001863178454
9/3/2013, 22.79772146124589
9/4/2013, 17.349035965768916
9/5/2013, 10.481570595189146
9/6/2013, 7.237661261307566
9/7/2013, 25.544713070518092
9/8/2013, 23.607115093030426
9/9/2013, 5.4161123978464225
