This data was generated by SERVIR's ClimateSERV system (http://ClimateSERV.servirglobal.net/),
Date,Average_CHIRPS_Rainfall(mm/day)
3/17/2013, 0.21215598494918259
3/18/2013, 1.0770056830512154
3/19/2013, 0
3/20/2013, 0
3/21/2013, 0.09082627473054108
3/22/2013, 0
3/23/2013, 0
3/24/2013, 0
3/25/2013, 0.24132314611364294
3/26/2013, 1.675414134837963
3/27/2013, 1.2556129738136574
3/28/2013, 0
3/29/2013, 0
3/30/2013, 0.12746932418258103
3/31/2013, 0.373264001916956
4/1/2013, 1.060942812319155
4/2/2013, 3.513387496383102
4/3/2013, 2.2101548936631943
4/4/2013, 0.015628878275553384
4/5/2013, 1.9831832320601852
4/6/2013, 3.5420441804108798
4/7/2013, 0.34349048755787037
4/8/2013, 0.046455824816668476
4/9/2013, 2.591900860821759
4/10/2013, 0.1321311668113426
4/11/2013, 0
4/12/2013, 0
4/13/2013, 0
4/14/2013, 0
4/15/2013, 0.22528427971733941
4/16/2013, 0
4/17/2013, 0
4/18/2013, 0
4/19/2013, 0
4/20/2013, 0
4/21/2013, 0
4/22/2013, 1.0686177571614583
4/23/2013, 3.413039822048611
4/24/2013, 0.9193692242657697
4/25/2013, 1.0405239529079862
4/26/2013, 4.587502260561343
4/27/2013, 2.256705050998264
4/28/2013, 6.051199001736111
4/29/2013, 4.1882310655381945
4/30/2013, 0
5/1/2013, 0
5/2/2013, 0.05083785940099646
5/3/2013, 4.231258138020833
5/4/2013, 5.668075900607639
5/5/2013, 3.471367277922454
5/6/2013, 10.279806857638889
5/7/2013, 1.7139145462601273
5/8/2013, 0.5896884494357639
5/9/2013, 4.636947518807871
5/10/2013, 8.819217484085648
5/11/2013, 5.923206922743056
5/12/2013, 0.29495405974211514
5/13/2013, 1.9648270218460648
5/14/2013, 0.058989584887469255
5/15/2013, 0
5/16/2013, 0
5/17/2013, 1.5075441713686342
5/18/2013, 2.8431731047453703
5/19/2013, 8.90681785300926
5/20/2013, 12.857792607060185
5/21/2013, 0.09925724312111184
5/22/2013, 17.47849392361111
5/23/2013, 0.13718596564398872
5/24/2013, 0
5/25/2013, 16.125278501157407
5/26/2013, 2.4976838288483796
5/27/2013, 14.763007269965279
5/28/2013, 14.483742042824074
5/29/2013, 0.5970795808015046
5/30/2013, 5.882249168113426
5/31/2013, 8.514272280092593
6/1/2013, 22.433662471064814
6/2/2013, 0
